0 0 3555 1.8926
0 -100 3555 -4.108
0 100 3555 -3.7505
0 -10 3555 -6.3861
0 10 3555 -9.5218
0 -105 3555 -6.108
0 105 3555 -6.1173
0 -110 3555 -7.4887
0 110 3555 -7.3839
0 -115 3555 -15.999
0 115 3555 0.18392
0 -120 3555 -9.7982
0 120 3555 6.2837
0 -125 3555 1.7057
0 125 3555 7.8389
0 -130 3555 1.0028
0 130 3555 4.8616
0 -135 3555 2.9712
0 135 3555 0.92045
0 -140 3555 4.1357
0 140 3555 -2.8188
0 -145 3555 1.0925
0 145 3555 -3.2606
0 -150 3555 -5.2261
0 150 3555 -6.008
0 -15 3555 -2.2899
0 15 3555 1.2354
0 -155 3555 -3.6181
0 155 3555 -2.8962
0 -160 3555 -2.7587
0 160 3555 -1.2015
0 -165 3555 5.2406
0 165 3555 3.4644
0 -170 3555 5.3288
0 170 3555 -6.0523
0 -175 3555 5.3284
0 175 3555 2.2227
0 -180 3555 5.2069
0 -20 3555 0.077554
0 20 3555 -4.0467
0 -25 3555 -3.0538
0 25 3555 -4.3535
0 -30 3555 -4.4738
0 30 3555 -4.3814
0 -35 3555 -4.8965
0 35 3555 -4.476
0 -40 3555 -6.0436
0 40 3555 -1.246
0 -45 3555 -5.2609
0 45 3555 3.7466
0 -50 3555 -6.5882
0 50 3555 6.2868
0 -5 3555 -2.9552
0 5 3555 -3.9008
0 -55 3555 -4.4392
0 55 3555 8.3663
0 -60 3555 3.5175
0 60 3555 9.3162
0 -65 3555 6.6747
0 65 3555 6.7736
0 -70 3555 8.5699
0 70 3555 -6.6194
0 -75 3555 8.5817
0 75 3555 -4.5836
0 -80 3555 7.2676
0 80 3555 -6.7702
0 -85 3555 4.5932
0 85 3555 -2.7791
0 -90 3555 2.5303
0 90 3555 5.3931
0 -95 3555 -0.87073
0 95 3555 4.0031
-10 0 3555 -1.8472
10 0 3555 4.0763
-10 -100 3555 -3.1174
-10 100 3555 3.3179
10 -100 3555 2.046
10 100 3555 -4.8682
-10 -10 3555 -1.2456
-10 10 3555 -0.033322
10 -10 3555 -13.932
10 10 3555 2.0457
-10 -105 3555 0.77526
-10 105 3555 -11.669
10 -105 3555 -1.1355
10 105 3555 0.33338
-10 -110 3555 -5.5972
-10 110 3555 -10.447
10 -110 3555 -5.8888
10 110 3555 2.6956
-10 -115 3555 -3.6195
-10 115 3555 -1.1696
10 -115 3555 -12.661
10 115 3555 6.9959
-10 -120 3555 -3.1857
-10 120 3555 3.0223
10 -120 3555 -19.859
10 120 3555 8.6915
-10 -125 3555 -7.4359
-10 125 3555 7.0567
10 -125 3555 -5.6067
10 125 3555 7.7274
-10 -130 3555 -2.5931
-10 130 3555 7.7685
